latitude,longitude,acq_date,brightness,frp,confidence
-32.6385,121.9405,2020-01-07,359.9,156.6,99
-15.747,131.1987,2019-10-10,354.8,62.1,96
-31.2435,124.0138,2019-11-05,357.8,669.9,98
-23.9714,149.0443,2019-10-15,338.4,62.3,74
-12.6221,133.675,2019-07-31,323.1,8.3,50
-27.62,148.9969,2019-10-03,300.9,8.6,35
-13.7932,130.9716,2019-07-30,356.7,250.1,98
-37.3654,148.2223,2020-01-03,316.0,20.4,92
-23.9413,151.1992,2019-08-14,307.8,26.4,58
-32.4526,121.4053,2020-01-07,373.9,245.0,100
-16.0689,144.7155,2020-01-11,329.8,12.9,68
-36.8821,146.6741,2020-01-03,328.6,46.8,100
-14.5116,127.1667,2019-11-20,355.2,48.4,96
-12.5861,136.6237,2019-11-28,321.4,84.9,69
-30.4741,152.5143,2019-12-05,336.3,31.3,82
-16.1237,137.3039,2020-03-14,323.4,68.1,53
-31.4967,152.2521,2019-11-14,308.4,17.1,74
-35.5609,149.034,2020-01-31,336.2,36.0,69
-15.0594,144.4606,2019-08-01,315.0,18.0,32
-15.6734,136.0464,2019-09-11,341.0,96.4,89
-12.9065,131.8446,2019-06-02,328.0,15.9,80
-25.866,129.7398,2019-12-25,359.0,582.8,99
-15.5243,141.6451,2019-06-30,349.0,232.0,95
-31.102,152.1064,2019-11-10,356.4,86.0,98
-15.3462,135.2521,2019-09-14,356.9,60.8,98
-27.286,128.9885,2019-11-10,369.2,189.7,100
-25.7082,152.3009,2020-03-13,301.5,6.0,31
-32.9235,150.6633,2019-12-03,415.4,430.7,100
-29.2154,128.0352,2019-12-29,377.2,275.5,100
-34.0038,142.199,2019-12-30,342.6,76.4,88
-34.6995,150.218,2020-01-04,345.8,54.0,100
-32.1394,152.4284,2019-10-21,334.7,145.9,85
-32.3741,123.6221,2020-01-05,328.8,12.1,58
-12.3217,132.7885,2019-10-08,341.4,33.0,74
-33.0494,150.8239,2019-11-22,325.9,9.4,65
-11.8205,142.1132,2019-07-26,344.1,53.3,93
-32.8566,150.9283,2019-12-02,330.0,32.1,81
-14.142,133.1006,2019-06-25,319.8,13.9,65
-32.1327,121.4562,2019-12-21,310.6,8.5,31
-22.8287,142.5535,2019-10-06,395.7,209.8,100
-32.4314,123.5955,2020-01-01,314.1,10.6,76
-18.4517,144.663,2019-12-08,341.7,43.2,60
-15.3778,126.8971,2019-10-03,353.0,254.6,86
-31.7505,152.0729,2019-11-15,325.6,39.6,62
-12.8129,142.1116,2019-08-31,346.7,70.6,93
-29.3333,152.6105,2019-11-08,341.5,46.1,100
-14.8893,133.2419,2019-06-01,317.8,7.5,45
-32.5325,119.7862,2019-12-06,350.8,60.4,74
-13.0959,130.6487,2019-06-23,310.8,70.7,81
-35.8346,149.9993,2020-01-05,315.1,31.3,47
-24.5796,151.4906,2020-01-08,329.7,19.0,44
-37.3145,149.2931,2020-01-04,372.1,128.6,100
-33.4343,150.1485,2019-12-21,340.8,20.0,69
-19.7775,145.7158,2019-10-27,329.8,45.7,65
-14.4181,144.3158,2019-09-13,308.4,10.2,74
-30.1202,150.8674,2019-12-08,346.5,137.5,89
-33.325,150.0744,2019-12-18,311.5,95.6,73
-17.3342,143.0072,2019-12-20,334.5,30.7,54
-29.3075,153.0614,2019-11-21,413.5,333.5,100
-31.1232,150.6196,2019-12-30,333.9,14.3,50
-11.5744,131.0301,2019-06-27,338.9,30.9,79
-34.1132,149.9694,2019-12-18,327.4,26.2,100
-15.5534,126.6287,2019-10-03,354.6,75.8,100
-32.1019,146.89,2019-08-18,374.7,184.6,100
-16.5333,125.9072,2019-11-29,333.6,17.3,68
-30.7877,123.4923,2019-12-26,343.0,24.0,84
-41.5964,147.9412,2019-12-31,353.2,77.9,89
-28.2628,149.6544,2019-07-24,312.6,6.8,61
-29.8548,152.2937,2019-11-12,307.0,14.4,70
